"","BCU_name","fishing","coast_pop","industr_dev","tourism","sediments","nitrogen","cumulative","Region","top_threat","first.threat","second.threat"
"21","Gallon-NGBR",0.0754059672978592,0,0,0,0,0.503675860925322,0.141576377628094,"Australia",6,"nutrient","fishing"
"22","Great Barrier Reef Central",0.474536906969339,0,0,0,0,0,0.0796669850723905,"Australia",1,"grav_NC","coast_pop"
"23","Gulf of Boni",0.779344833398887,0.623965125650231,0,0,0.818007944681477,0.937077368120428,0.493291775641858,"Southeast Asia",6,"nutrient","sediments"
"24","Gulf of Thailand",0.647787080219513,0.68379551615503,0,0.849485310279141,0.673937031043107,0.773524588653658,0.543823452601926,"Southeast Asia",4,"reef_value","nitrogen"
"25","Gulf of Tomini",0.645661253769362,0.75800424939556,0,0,0.893592761512432,0.889650470768154,0.545722160473326,"Southeast Asia",5,"sediment","nitrogen"
"26","Halmahera",0.392500608716825,0.670140669646128,0,0,0.668695748124172,0.553737585908278,0.390983560126093,"Southeast Asia",2,"pop_count","sediments"
"27","Hispanola",0.891386188683486,0.886969741372994,0,0.762015532273427,0.902181109312932,0.645440642676837,0.603657669359691,"Caribbean-Atlantic",5,"sediment","fishing"
"28","Karimunjawa to Kangean",0.789093667472046,0.832350355337387,0,0,0.59816830954833,0.82094227332191,0.488658629776157,"Southeast Asia",2,"pop_count","nitrogen"
"29","Kenya/Somalia",0.766130995860726,0.635889076122793,0,0,0.713991466823599,0.836493283953347,0.455722481678244,"Western Indian Ocean",6,"nutrient","fishing"
"30","Lakshadweep",0.297690622014946,0,0,0,0,0,0.0973298956052618,"Central Indian Ocean",1,"grav_NC","coast_pop"
"31","Lakshadweep North",0.109812515217921,0,0,0,0,0,0.0183020858696534,"Central Indian Ocean",1,"grav_NC","coast_pop"
"32","Maceio",0.961060852952745,0.919710235182065,0,0.909095904461865,0.97522804178314,0.991192674073665,0.781176407343301,"Caribbean-Atlantic",6,"nutrient","sediments"
"33","Mackay-GBR",0.523552658687794,0.320060077661367,0,0,0.586416801530087,0.60948353693365,0.343621197402324,"Australia",6,"nutrient","sediments"
"34","Makassar",0.831900507576183,0.429830024177595,0,0,0.604917610710608,0.890903395795331,0.451036663427516,"Southeast Asia",6,"nutrient","fishing"
