"","ReefName","fishing","coast_dev","industr_dev","tourism","sediments","nutrients","cumulative","Region","top.threat","first.threat","second.threat"
"49","Palawan",0.428012211795996,0,0,0,0.615657643077828,0.718810458238903,0.292061996769362,"Southeast Asia",6,"nutrient","sediments"
"50","Persian Gulf",0.810230188608567,0.52659535497106,0,0,0.476864793291158,0.641654229543235,0.433481582264424,"Middle East and North Africa",1,"grav_NC","nutrients"
"51","Rakhine Coast",0.578103051076024,0.74401055022346,0,0,0.762284831543328,0.781327732021447,0.469949948637895,"Southeast Asia",6,"nutrient","sediments"
"52","Ralik Chain",0.0688224607143526,0.47712286614404,0,0,0,0,0.101424545295678,"Micronesia",2,"pop_count","fishing"
"53","Riau Islands",0.373986252364631,0.585894571030845,0,0,0.558555244961012,0.687542608663608,0.355805811325693,"Southeast Asia",6,"nutrient","coast_dev"
"54","Sabah",0.688505553370418,0.604375778445307,0,0,0.534123510372223,0.573434304350229,0.361878780442102,"Southeast Asia",1,"grav_NC","coast_dev"
"55","Sabalana Islands",0.637747935045232,0.439409480548025,0,0,0,0,0.167339742131403,"Southeast Asia",1,"grav_NC","coast_dev"
"56","Salvador",0.984585417017849,0.909205802622903,0,0.949813173126236,0.879947035456819,0.928472721242607,0.773316573413561,"Caribbean-Atlantic",1,"grav_NC","tourism"
"57","SE Red Sea",0.768537768537769,0.689803282291743,0,0,0.779498308077093,0.72608847861736,0.446487822811484,"Middle East and North Africa",5,"sediment","fishing"
"58","Simeulue to Nias",0.752186698132644,0.620072899113488,0,0,0.62244372517287,0.732445230593481,0.408252067024641,"Southeast Asia",1,"grav_NC","nutrients"
"59","Singapore",0.9217471109363,0.759780936332332,0,0.747197596893545,0.616944975724584,0.712214176478175,0.563873131921435,"Southeast Asia",1,"grav_NC","coast_dev"
"60","Solomon Islands",0.319960292933266,0.539709868854861,0,0,0.690488450787112,0,0.250891613553798,"Melanesia",5,"sediment","coast_dev"
"61","Somalia",0.985334606956229,0.923822258040882,0,0,0.713237457701927,0,0.437035462870367,"East Africa",1,"grav_NC","coast_dev"
"62","South Papua",0.282772377366972,0.542695435563045,0,0,0.688998823010152,0.606581541466291,0.346235531803285,"Southeast Asia",5,"sediment","nutrients"
"63","Southern Red Sea",0.698881834016969,0.446058319290791,0,0,0.455145652493747,0.525620474268974,0.34238038048599,"Middle East and North Africa",1,"grav_NC","nutrients"
"64","Southern Tanzania",0.884849506471128,0.772657337533885,0,0,0.71606958952479,0.844987378622888,0.502111818935331,"East Africa",1,"grav_NC","nutrients"
"65","Sri Lanka",0.91386188683486,0.902117371235988,0,0.826470803721884,0.791617625422981,0.943157739575848,0.677181448187423,"Indian Ocean",6,"nutrient","fishing"
"66","Sudan I",0.651046056451462,0,0,0,0.623823010151537,0.489617305105669,0.339880078659522,"Middle East and North Africa",1,"grav_NC","sediments"
"67","Sudan II",0.892641081830271,0.354751263828852,0,0,0.631142415771664,0.552447810145008,0.444899020233847,"Middle East and North Africa",1,"grav_NC","sediments"
"68","Sulu Archipelago",0.413168886141859,0.703769506923584,0,0,0.501094232749743,0.577239142851878,0.359098877338574,"Southeast Asia",2,"pop_count","nutrients"
"69","Sunda Strait",0.954842576464198,0.857223972452194,0,0.762107114074291,0.775213329410034,0.870561789471745,0.633729897689561,"Southeast Asia",1,"grav_NC","nutrients"
"70","SW Red Sea",0.905171283549662,0.616730163381933,0,0,0.804012799764602,0,0.390786381837593,"Middle East and North Africa",1,"grav_NC","sediments"
"71","Tahiti",0.359348953943549,0.799710601509268,0,0.863158473148216,0,0,0.382052789008365,"Polynesia",4,"reef_value","coast_dev"
"72","Takabonarate",0.63962090989118,0,0,0,0,0,0.16999351291668,"Southeast Asia",1,"grav_NC","coast_dev"
"73","Tanintharyi/Phuket",0.36900413927441,0.642940874789362,0,0,0.559934529939679,0.552926869714223,0.392854530178648,"Southeast Asia",2,"pop_count","sediments"
"74","Tanzania/Kenya",0.943689011256579,0.873525533006081,0,0.840198915671478,0.888314697660733,0.896946916514657,0.664027320055488,"East Africa",1,"grav_NC","nutrients"
"75","Torres Strait",0.177417542282407,0,0,0,0,0,0.0307619125731593,"Australia",1,"grav_NC","coast_dev"
"76","Tuamotus Central",0.100391451742803,0.441351014726354,0,0,0.415532587906429,0,0.160807514015739,"Polynesia",2,"pop_count","sediments"
"77","Tuamotus Northern",0.118840253975389,0.497966884020807,0,0,0.436534500514933,0,0.189208898863396,"Polynesia",2,"pop_count","sediments"
"78","Tuamotus Southern",0.0631941713022794,0.392904242069016,0,0,0.418585405325879,0,0.144874224898089,"Polynesia",5,"sediment","coast_dev"
"79","Van Diemen Gulf",0.355153490288625,0.327084401787677,0,0,0.67668640576725,0.678145670959777,0.337641853540207,"Australia",6,"nutrient","sediments"
"80","Vanua Balavu - NE Fiji",0.0163978947762732,0.407108579383105,0,0,0.58941444755039,0.550780314336779,0.253756207193982,"Melanesia",5,"sediment","nutrients"
"81","Vatu-i-Ra",0.511537525051039,0.527236427577112,0,0.715455344713898,0.692860820950419,0.584987010115527,0.40590684053646,"Melanesia",4,"reef_value","sediments"
"82","WhitsundayReef 1 - SGBR",0.433162892622352,0,0,0,0,0,0.081957074437458,"Australia",1,"grav_NC","coast_dev"
"83","WhitsundayReef 2-SGBR",0.380045325991272,0,0,0,0,0,0.0666970874032775,"Australia",1,"grav_NC","coast_dev"
