country,site,latitude,longitude
Fiji,WaiE1,-17.766001,178.63699
Fiji,WaiE2,-17.812001,178.66299
Fiji,WaiE3,-17.782001,178.689001
Fiji,WaiE4,-17.78621,178.6909
Fiji,WaiE5,-17.780001,178.645001
Fiji,WaiE6,-17.78236,178.64542
Mauritius,Anenome/Mahebourg,-20.39954,57.72158
Mauritius,Belombre/Edge,-20.51507,57.40387
Mauritius,Belombre lagoon,-20.5033,57.3889
Mauritius,Chilli drop,-20.04269,57.52682
Mauritius,Flic&Flac Reef lagoon,-20.2778,57.3653
Mauritius,Flic&Flac ReefSlope,-20.27743,57.359787
Mauritius,Shandrani/BlueBay,-20.44441,57.70743
Indonesia,Bunutan,-8.72336,116.0463
Indonesia,Dusun Medang,-8.72316,116.0391
Indonesia,Lohlandak,-8.71687,116.0355
Tanzania,Bawe dive site,-6.157152778,39.133875
Tanzania,Bawe North,-6.146322222,39.13839444
Tanzania,Changuu,-6.1176,39.1692
Tanzania,Chapwani,-6.066944444,39.11
Tanzania,Pungume edge,-6.430130556,39.35333056
Tanzania,Pungume Lighthouse,-6.439730556,39.33386944
Tanzania,Pungume North,-6.416727778,39.33825556
Tanzania,Pungume South,-6.41935,39.34175
Fiji,BUA04,-16.896101,178.47759
Fiji,BUA25,-16.84262,178.539783
Fiji,NAOBF3,-17.598,178.825
Fiji,NAOBF4,-17.595,178.819
Fiji,NTRFN1,-17.509,178.382
Fiji,NTRFN7,-17.516,178.398
Indonesia,Gili Dewa,-8.66031,118.05218
Indonesia,Gili Tai Kebo,-8.65891,117.88732
Indonesia,Kampung Pecak,-8.66034,118.06315
Indonesia,Labajo,-8.67043,117.95738
Indonesia,Panjang 1,-8.6097,117.87382
Indonesia,Panjang 2,-8.61,117.86488
Indonesia,Pulau Bakau,-8.69103,118.01315
Indonesia,Pulau Lipan,-8.65793,117.85704
Indonesia,Takad Tabampang,-8.61008,118.0866
Indonesia,Takad Tanjung Billa,-8.62185,117.99878
Indonesia,Tanjung Batu,-8.66761,118.00719
Indonesia,Tanjung Lepek Tambora,-8.60849,117.97827
Indonesia,Tanjung Padang,-8.61301,117.9498
